title,overview,genre_list,crew_list,cast_list,original_language,comp_list,comb
Shazam!,A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.,Horror Science Fiction Thriller ,David F. Sandberg,Zachary Levi Mark Strong Asher Angel Jack Dylan Grazer,en,unknown,Horror Science Fiction Thriller Zachary Levi Mark Strong Asher Angel Jack Dylan GrazerDavid F. Sandbergen
Anna,Beneath Anna Poliatova's striking beauty lies a secret that will unleash her indelible strength and skill to become one of the world's most feared government assassins.,Action Crime Thriller ,Luc Besson,Sasha Luss Helen Mirren Luke Evans Cillian Murphy,en,unknown,Action Crime Thriller Sasha Luss Helen Mirren Luke Evans Cillian MurphyLuc Bessonen
John Wick: Chapter 3 - Parabellum,"John Wick is on the run after killing a member of the international assassins' guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere.",Biography Comedy Drama ,Chad Stahelski,Keanu Reeves Halle Berry Ian McShane Laurence Fishburne,en,unknown,Biography Comedy Drama Keanu Reeves Halle Berry Ian McShane Laurence FishburneChad Stahelskien
The Good Liar,"Consummate con man Roy Courtnay has set his sights on his latest mark: the recently widowed Betty McLeish, worth millions. But this time, what should have been a simple swindle escalates into a cat-and-mouse game with the ultimate stakes.",Drama Romance ,Bill Condon,Helen Mirren Ian McKellen Russell Tovey Jim Carter,en,unknown,Drama Romance Helen Mirren Ian McKellen Russell Tovey Jim CarterBill Condonen
Cats,A tribe of cats called the Jellicles must decide yearly which one will ascend to the Heaviside Layer and come back to a new Jellicle life.,Crime Drama Mystery ,Tom Hooper,James Corden Judi Dench Jason Derulo Idris Elba,en,unknown,Crime Drama Mystery James Corden Judi Dench Jason Derulo Idris ElbaTom Hooperen
Maleficent: Mistress of Evil,"Maleficent and her goddaughter Aurora begin to question the complex family ties that bind them as they are pulled in different directions by impending nuptials, unexpected allies and dark new forces at play.",Action Adventure Science Fiction ,Joachim Rønning,Angelina Jolie Elle Fanning Harris Dickinson Michelle Pfeiffer,en,unknown,Action Adventure Science Fiction Angelina Jolie Elle Fanning Harris Dickinson Michelle PfeifferJoachim Rønningen
El Camino: A Breaking Bad Movie,"Fugitive Jesse Pinkman runs from his captors, the law and his past.",Action Adventure Drama ,Vince Gilligan,Aaron Paul Jonathan Banks Matt Jones Charles Baker,en,unknown,Action Adventure Drama Aaron Paul Jonathan Banks Matt Jones Charles BakerVince Gilliganen
Good Boys,"Three 6th grade boys ditch school and embark on an epic journey while carrying accidentally stolen drugs, being hunted by teenage girls, and trying to make their way home in time for a long-awaited party.",Biography Comedy Drama ,Gene Stupnitsky,Jacob Tremblay Keith L. Williams Brady Noon Molly Gordon,en,unknown,Biography Comedy Drama Jacob Tremblay Keith L. Williams Brady Noon Molly GordonGene Stupnitskyen
Glass,"Security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities.",Action Science Fiction Thriller ,M. Night Shyamalan,James McAvoy Bruce Willis Samuel L. Jackson Anya Taylor-Joy,en,unknown,Action Science Fiction Thriller James McAvoy Bruce Willis Samuel L. Jackson Anya Taylor-JoyM. Night Shyamalanen
Godzilla: King of the Monsters,"The crypto-zoological agency Monarch faces off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah.",Horror Mystery Thriller ,Michael Dougherty,Kyle Chandler Vera Farmiga Millie Bobby Brown Ken Watanabe,en,unknown,Horror Mystery Thriller Kyle Chandler Vera Farmiga Millie Bobby Brown Ken WatanabeMichael Doughertyen
Angel Has Fallen,Mike Banning is framed for the attempted assassination of the President and must evade his own agency and the FBI as he tries to uncover the real threat.,Action Thriller ,Ric Roman Waugh,Gerard Butler Frederick Schmidt Danny Huston Rocci Williams,en,unknown,Action Thriller Gerard Butler Frederick Schmidt Danny Huston Rocci WilliamsRic Roman Waughen
Rambo: Last Blood,Rambo must confront his past and unearth his ruthless combat skills to exact revenge in a final mission.,Drama Science Fiction Thriller ,Adrian Grunberg,Sylvester Stallone Paz Vega Sergio Peris-Mencheta Adriana Barraza,en,unknown,Drama Science Fiction Thriller Sylvester Stallone Paz Vega Sergio Peris-Mencheta Adriana BarrazaAdrian Grunbergen
How to Train Your Dragon: The Hidden World,"When Hiccup discovers Toothless isn't the only Night Fury, he must seek ""The Hidden World"", a secret Dragon Utopia before a hired tyrant named Grimmel finds it first.",Action Thriller ,Dean DeBlois,Jay Baruchel America Ferrera F. Murray Abraham Cate Blanchett,en,unknown,Action Thriller Jay Baruchel America Ferrera F. Murray Abraham Cate BlanchettDean DeBloisen
Men in Black: International,"The Men in Black have always protected the Earth from the scum of the universe. In this new adventure, they tackle their biggest threat to date: a mole in the Men in Black organization.",Action Crime Drama ,F. Gary Gray,Chris Hemsworth Tessa Thompson Kumail Nanjiani Rebecca Ferguson,en,unknown,Action Crime Drama Chris Hemsworth Tessa Thompson Kumail Nanjiani Rebecca FergusonF. Gary Grayen
Last Christmas,"Kate is a young woman subscribed to bad decisions. Working as an elf in a year round Christmas store is not good for the wannabe singer. However, she meets Tom there. Her life takes a new turn. For Kate, it seems too good to be true.",Action Fantasy Thriller ,Paul Feig,Madison Ingoldsby Emma Thompson Boris Isakovic Lucy Miller,en,unknown,Action Fantasy Thriller Madison Ingoldsby Emma Thompson Boris Isakovic Lucy MillerPaul Feigen
Fighting with My Family,A former wrestler and his family make a living performing at small venues around the country while his kids dream of joining World Wrestling Entertainment.,Horror Mystery Thriller ,Stephen Merchant,Dwayne Johnson Lena Headey Vince Vaughn Florence Pugh,en,unknown,Horror Mystery Thriller Dwayne Johnson Lena Headey Vince Vaughn Florence PughStephen Merchanten
The Kitchen,The wives of New York gangsters in Hell's Kitchen in the 1970s continue to operate their husbands' rackets after they're locked up in prison.,Action Thriller ,Andrea Berloff,Melissa McCarthy Tiffany Haddish Elisabeth Moss Domhnall Gleeson,en,unknown,Action Thriller Melissa McCarthy Tiffany Haddish Elisabeth Moss Domhnall GleesonAndrea Berloffen
Murder Mystery,"A New York cop and his wife go on a European vacation to reinvigorate the spark in their marriage, but end up getting framed and on the run for the death of an elderly billionaire.",Crime Drama Thriller ,Kyle Newacheck,Adam Sandler Jennifer Aniston Luke Evans Terence Stamp,en,unknown,Crime Drama Thriller Adam Sandler Jennifer Aniston Luke Evans Terence StampKyle Newachecken
Triple Frontier,"Loyalties are tested when five friends and former special forces operatives reunite to take down a South American drug lord, unleashing a chain of unintended consequences.",Action Comedy Crime ,J.C. Chandor,Ben Affleck Oscar Isaac Charlie Hunnam Garrett Hedlund,en,unknown,Action Comedy Crime Ben Affleck Oscar Isaac Charlie Hunnam Garrett HedlundJ.C. Chandoren
Serenity,A fishing boat captain juggles facing his mysterious past and finding himself ensnared in a reality where nothing is what it seems.,Action Biography Comedy ,Steven Knight,Matthew McConaughey Anne Hathaway Diane Lane Jason Clarke,en,unknown,Action Biography Comedy Matthew McConaughey Anne Hathaway Diane Lane Jason ClarkeSteven Knighten
Operation Brothers,Israel's Mossad agents attempt to rescue Ethiopian Jewish refugees in Sudan in 1979.,Horror Mystery Thriller ,Gideon Raff,Mbulelo Grootboom Sizo Mahlangu Michael Kenneth Williams Masasa Mbangeni,en,unknown,Horror Mystery Thriller Mbulelo Grootboom Sizo Mahlangu Michael Kenneth Williams Masasa MbangeniGideon Raffen
Hellboy,"Based on the graphic novels by Mike Mignola, Hellboy, caught between the worlds of the supernatural and human, battles an ancient sorceress bent on revenge.",Drama Horror Mystery ,Neil Marshall,David Harbour Milla Jovovich Ian McShane Sasha Lane,en,unknown,Drama Horror Mystery David Harbour Milla Jovovich Ian McShane Sasha LaneNeil Marshallen
Lady and the Tramp,The romantic tale of a sheltered uptown Cocker Spaniel dog and a streetwise downtown Mutt.,Horror Mystery ,Charlie Bean,Tessa Thompson Justin Theroux Sam Elliott Ashley Jensen,en,unknown,Horror Mystery Tessa Thompson Justin Theroux Sam Elliott Ashley JensenCharlie Beanen
Crawl,"A young woman, while attempting to save her father during a category 5 hurricane, finds herself trapped in a flooding house and must fight for her life against alligators.",Animation Adventure Comedy ,Alexandre Aja,Kaya Scodelario Barry Pepper Morfydd Clark Ross Anderson,en,unknown,Animation Adventure Comedy Kaya Scodelario Barry Pepper Morfydd Clark Ross AndersonAlexandre Ajaen
Long Shot,"Journalist Fred Flarsky reunites with his childhood crush, Charlotte Field, now one of the most influential women in the world. As she prepares to make a run for the Presidency, Charlotte hires Fred as her speechwriter and sparks fly.",Action Adventure Drama ,Jonathan Levine,Charlize Theron Seth Rogen June Diane Raphael O'Shea Jackson Jr.,en,unknown,Action Adventure Drama Charlize Theron Seth Rogen June Diane Raphael O'Shea Jackson Jr.Jonathan Levineen
Pet Sematary,"Dr. Louis Creed and his wife, Rachel, relocate from Boston to rural Maine with their two young children. The couple soon discover a mysterious burial ground hidden deep in the woods near their new home.",Animation Adventure Comedy ,Kevin Kölsch,Dennis Widmyer Jason Clarke Amy Seimetz John Lithgow Jeté Laurence,en,unknown,Animation Adventure Comedy Dennis Widmyer Jason Clarke Amy Seimetz John Lithgow Jeté LaurenceKevin Kölschen
The Addams Family,The eccentrically macabre family moves to a bland suburb where Wednesday Addams' friendship with the daughter of a hostile and conformist local reality show host exacerbates conflict between the families.,Drama Fantasy Romance ,Greg Tiernan,Conrad Vernon Oscar Isaac Charlize Theron Chloë Grace Moretz Finn Wolfhard,en,unknown,Drama Fantasy Romance Conrad Vernon Oscar Isaac Charlize Theron Chloë Grace Moretz Finn WolfhardGreg Tiernanen
Escape Room,Six strangers find themselves in a maze of deadly mystery rooms and must use their wits to survive.,Animation Adventure Comedy ,Adam Robitel,Taylor Russell Logan Miller Jay Ellis Tyler Labine,en,unknown,Animation Adventure Comedy Taylor Russell Logan Miller Jay Ellis Tyler LabineAdam Robitelen
Code 8,A super-powered construction worker falls in with a group of criminals in order to raise the funds to help his ill mother.,Action Adventure Drama ,Jeff Chan,Kari Matchett Robbie Amell Penny Eizenga Lawrence Bayne,en,unknown,Action Adventure Drama Kari Matchett Robbie Amell Penny Eizenga Lawrence BayneJeff Chanen
Annabelle Comes Home,"While babysitting the daughter of Ed and Lorraine Warren, a teenager and her friend unknowingly awaken an evil spirit trapped in a doll.",Crime Drama Mystery ,Gary Dauberman,Vera Farmiga Patrick Wilson Mckenna Grace Madison Iseman,en,unknown,Crime Drama Mystery Vera Farmiga Patrick Wilson Mckenna Grace Madison IsemanGary Daubermanen
Pokémon Detective Pikachu,"In a world where people collect Pokémon to do battle, a boy comes across an intelligent talking Pikachu who seeks to be a detective.",Action Drama Mystery ,Rob Letterman,Ryan Reynolds Justice Smith Kathryn Newton Bill Nighy,en,unknown,Action Drama Mystery Ryan Reynolds Justice Smith Kathryn Newton Bill NighyRob Lettermanen
Dumbo,"A young elephant, whose oversized ears enable him to fly, helps save a struggling circus, but when the circus plans a new venture, Dumbo and his friends discover dark secrets beneath its shiny veneer.",Crime Horror Mystery ,Tim Burton,Colin Farrell Michael Keaton Danny DeVito Eva Green,en,unknown,Crime Horror Mystery Colin Farrell Michael Keaton Danny DeVito Eva GreenTim Burtonen
Child's Play,"A mother gives her 13-year-old son a toy doll for his birthday, unaware of its more sinister nature.",Action Biography Thriller ,Lars Klevberg,Tim Matheson Ben Andrusco-Daon Zahra Anderson Serge Jaswal,en,unknown,Action Biography Thriller Tim Matheson Ben Andrusco-Daon Zahra Anderson Serge JaswalLars Klevbergen
The Secret Life of Pets 2,"Continuing the story of Max and his pet friends, following their secret lives after their owners leave them for work or school each day.",Action Adventure Thriller ,Chris Renaud,Jonathan del Val Patton Oswalt Kevin Hart Harrison Ford Eric Stonestreet,en,unknown,Action Adventure Thriller Jonathan del Val Patton Oswalt Kevin Hart Harrison Ford Eric StonestreetChris Renauden
The Hustle,Two con women - one low rent and the other high class - team up to take down the men who have wronged them.,Animation Action Comedy ,Chris Addison,Anne Hathaway Rebel Wilson Alex Sharp Tim Blake Nelson,en,unknown,Animation Action Comedy Anne Hathaway Rebel Wilson Alex Sharp Tim Blake NelsonChris Addisonen
Cold Pursuit,A grieving snowplow driver seeks out revenge against the drug dealers who killed his son.,Drama Science Fiction ,Hans Petter Moland,Liam Neeson Laura Dern Micheál Richardson Michael Eklund,en,unknown,Drama Science Fiction Liam Neeson Laura Dern Micheál Richardson Michael EklundHans Petter Molanden
Ma,"A lonely woman befriends a group of teenagers and decides to let them party at her house. Just when the kids think their luck couldn't get any better, things start happening that make them question the intention of their host.",Comedy ,Tate Taylor,Octavia Spencer Diana Silvers Juliette Lewis McKaley Miller,en,unknown,Comedy Octavia Spencer Diana Silvers Juliette Lewis McKaley MillerTate Tayloren
Haunt,"On Halloween, a group of friends encounter an ""extreme"" haunted house that promises to feed on their darkest fears. The night turns deadly as they come to the horrifying realization that some nightmares are real.",Animation Adventure Comedy ,Scott Beck,Bryan Woods Katie Stevens Will Brittain Lauryn Alisa McClain Andrew Lewis Caldwell,en,unknown,Animation Adventure Comedy Bryan Woods Katie Stevens Will Brittain Lauryn Alisa McClain Andrew Lewis CaldwellScott Becken
Velvet Buzzsaw,"A satire set in the contemporary art world scene of Los Angeles, where big money artists and mega-collectors pay a high price when art collides with commerce.",Action Horror Thriller ,Dan Gilroy,Jake Gyllenhaal Rene Russo Zawe Ashton Tom Sturridge,en,unknown,Action Horror Thriller Jake Gyllenhaal Rene Russo Zawe Ashton Tom SturridgeDan Gilroyen
Tolkien,"The formative years of the orphaned author J.R.R. Tolkien as he finds friendship, love and artistic inspiration among a group of fellow outcasts at school.",Drama Mystery Science Fiction ,Dome Karukoski,Nicholas Hoult Lily Collins Colm Meaney Derek Jacobi,en,unknown,Drama Mystery Science Fiction Nicholas Hoult Lily Collins Colm Meaney Derek JacobiDome Karukoskien
Captive State,"Set in a Chicago neighborhood nearly a decade after an occupation by an extraterrestrial force, 'Captive State' explores the lives on both sides of the conflict - the collaborators and dissidents.",Drama Romance Science Fiction ,Rupert Wyatt,John Goodman Ashton Sanders Jonathan Majors Vera Farmiga,en,unknown,Drama Romance Science Fiction John Goodman Ashton Sanders Jonathan Majors Vera FarmigaRupert Wyatten
Shaft,"JJ Shaft, a cyber security expert with a degree from MIT, enlists his family's help to uncover the truth behind his best friend's untimely death.",Adventure Comedy Family ,Tim Story,Samuel L. Jackson Jessie T. Usher Richard Roundtree Regina Hall,en,unknown,Adventure Comedy Family Samuel L. Jackson Jessie T. Usher Richard Roundtree Regina HallTim Storyen
Klaus,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",Comedy Drama ,Sergio Pablos,Carlos Martínez López Jason Schwartzman J.K. Simmons Rashida Jones Will Sasso,en,unknown,Comedy Drama Carlos Martínez López Jason Schwartzman J.K. Simmons Rashida Jones Will SassoSergio Pablosen
The Lego Movie 2: The Second Part,"It's been five years since everything was awesome and the citizens are facing a huge new threat: Lego Duplo invaders from outer space, wrecking everything faster than they can rebuild.",Action Comedy Crime ,Mike Mitchell,Chris Pratt Elizabeth Banks Will Arnett Tiffany Haddish,en,unknown,Action Comedy Crime Chris Pratt Elizabeth Banks Will Arnett Tiffany HaddishMike Mitchellen
Isn't It Romantic,A young woman disenchanted with love mysteriously finds herself trapped inside a romantic comedy.,Adventure Drama Horror ,Todd Strauss-Schulson,Rebel Wilson Liam Hemsworth Adam Devine Priyanka Chopra,en,unknown,Adventure Drama Horror Rebel Wilson Liam Hemsworth Adam Devine Priyanka ChopraTodd Strauss-Schulsonen
Happy Death Day 2U,Tree Gelbman discovers that dying over and over was surprisingly easier than the dangers that lie ahead.,Comedy Crime Thriller ,Christopher Landon,Jessica Rothe Israel Broussard Phi Vu Suraj Sharma,en,unknown,Comedy Crime Thriller Jessica Rothe Israel Broussard Phi Vu Suraj SharmaChristopher Landonen
47 Meters Down: Uncaged,Two sisters diving in a ruined underwater city quickly learn they've entered the territory of the deadliest shark species in the claustrophobic labyrinth of submerged caves.,Biography Drama Music ,Johannes Roberts,Sophie Nélisse Corinne Foxx Brianne Tju Sistine Rose Stallone,en,unknown,Biography Drama Music Sophie Nélisse Corinne Foxx Brianne Tju Sistine Rose StalloneJohannes Robertsen
The Angry Birds Movie 2,The flightless birds and scheming green pigs take their feud to the next level.,Adventure Comedy Drama ,Thurop Van Orman,John Rice Jason Sudeikis Josh Gad Leslie Jones Bill Hader,en,unknown,Adventure Comedy Drama John Rice Jason Sudeikis Josh Gad Leslie Jones Bill HaderThurop Van Ormanen
What Men Want,"A woman is boxed out by the male sports agents in her profession, but gains an unexpected edge over them when she develops the ability to hear men's thoughts.",Action Comedy ,Adam Shankman,Taraji P. Henson Kristen Ledlow Josh Brener Kellan Lutz,en,unknown,Action Comedy Taraji P. Henson Kristen Ledlow Josh Brener Kellan LutzAdam Shankmanen
Point Blank,An ER nurse and a career criminal are forced into an unlikely partnership in taking down a ring of corrupt cops threatening the lives of both their families.,Animation Adventure Comedy ,Joe Lynch,Frank Grillo Stuart F. Wilson Buster Reeves Christian Cooke,en,unknown,Animation Adventure Comedy Frank Grillo Stuart F. Wilson Buster Reeves Christian CookeJoe Lynchen
Let It Snow,"In a small town on Christmas Eve, a snowstorm brings together a group of young people.",Comedy ,Luke Snellin,Isabela Merced Shameik Moore Odeya Rush Liv Hewson,en,unknown,Comedy Isabela Merced Shameik Moore Odeya Rush Liv HewsonLuke Snellinen
IO,"As a young scientist searches for a way to save a dying Earth, she finds a connection with a man who's racing to catch the last shuttle off the planet.",Drama Romance Science Fiction ,Jonathan Helpert,Margaret Qualley Anthony Mackie Danny Huston Tom Payne,en,unknown,Drama Romance Science Fiction Margaret Qualley Anthony Mackie Danny Huston Tom PayneJonathan Helperten
Polaroid,"High school loner Bird Fitcher has no idea what dark secrets are tied to the Polaroid camera she finds. It doesn't take long to discover that those who have their picture taken with it, soon die.",Comedy Crime ,Lars Klevberg,Kathryn Prescott Tyler Young Samantha Logan Keenan Tracey,en,unknown,Comedy Crime Kathryn Prescott Tyler Young Samantha Logan Keenan TraceyLars Klevbergen
Close,A female bodyguard is hired to protect an heiress on the run from assassins.,Biography Drama ,Vicky Jewson,Noomi Rapace Olivia Jewson Abdellatif Chaouqi Sophie Nélisse,en,unknown,Biography Drama Noomi Rapace Olivia Jewson Abdellatif Chaouqi Sophie NélisseVicky Jewsonen
Kill Chain,Three strangers' lives are inevitably entangled in a conflict none of them are prepared for.,Drama Fantasy Thriller ,Ken Sanzel,Nicolas Cage Anabelle Acosta Enrico Colantoni Ryan Kwanten,en,unknown,Drama Fantasy Thriller Nicolas Cage Anabelle Acosta Enrico Colantoni Ryan KwantenKen Sanzelen
The Hole in the Ground,"A single mother living in the Irish countryside with her son begins to suspect he may not be her son at all, and fears his increasingly disturbing behavior is linked to a mysterious sinkhole in the forest behind their house.",Drama Thriller ,Lee Cronin,Seána Kerslake James Quinn Markey Kati Outinen David Crowley,en,unknown,Drama Thriller Seána Kerslake James Quinn Markey Kati Outinen David CrowleyLee Croninen
Noelle,"Santa's daughter must take over the family business when her father retires and her brother, who is supposed to inherit the Santa role, gets cold feet.",Action Adventure Comedy ,Marc Lawrence,Anna Kendrick Shirley MacLaine Bill Hader Kingsley Ben-Adir,en,unknown,Action Adventure Comedy Anna Kendrick Shirley MacLaine Bill Hader Kingsley Ben-AdirMarc Lawrenceen
A Shaun the Sheep Movie: Farmageddon,"When an alien with amazing powers crash-lands near Mossy Bottom Farm, Shaun the Sheep goes on a mission to shepherd the intergalactic visitor home before a sinister organization can capture her.",Animation Action Adventure ,Will Becher,Richard Phelan Justin Fletcher John Sparkes Amalia Vitale Kate Harbour,en,unknown,Animation Action Adventure Richard Phelan Justin Fletcher John Sparkes Amalia Vitale Kate HarbourWill Becheren
Pokémon: Mewtwo Strikes Back - Evolution,"After a scientific experiment leads to the creation of a clone of Mewtwo, he sets out to destroy the world. Ash and his friends then decide to thwart Mewtwo's evil plans.",Comedy Drama War ,Motonori Sakakibara,Tetsuo Yajima Kunihiko Yuyama Sarah Natochenny Michele Knotz Bill Rogers Ikue Ôtani,en,unknown,Comedy Drama War Tetsuo Yajima Kunihiko Yuyama Sarah Natochenny Michele Knotz Bill Rogers Ikue ÔtaniMotonori Sakakibaraen
