title,overview,genre_list,crew_list,cast_list,original_language,comp_list,comb
Power Rangers,"A group of high-school students, who are infused with unique superpowers, harness their abilities in order to save the world.",Action Adventure Science Fiction ,Dean Israelite,Dacre Montgomery Naomi Scott RJ Cyler Ludi Lin,en,unknown,Action Adventure Science Fiction Dacre Montgomery Naomi Scott RJ Cyler Ludi LinDean Israeliteen
King Arthur: Legend of the Sword,"Robbed of his birthright, Arthur comes up the hard way in the back alleys of the city. But once he pulls the sword from the stone, he is forced to acknowledge his true legacy - whether he likes it or not.",Action Adventure Drama ,Guy Ritchie,Charlie Hunnam Astrid Bergès-Frisbey Jude Law Djimon Hounsou,en,unknown,Action Adventure Drama Charlie Hunnam Astrid Bergès-Frisbey Jude Law Djimon HounsouGuy Ritchieen
The Disaster Artist,"When Greg Sestero, an aspiring film actor, meets the weird and mysterious Tommy Wiseau in an acting class, they form a unique friendship and travel to Hollywood to make their dreams come true.",Biography Comedy Drama ,James Franco,James Franco Dave Franco Ari Graynor Seth Rogen,en,unknown,Biography Comedy Drama James Franco Dave Franco Ari Graynor Seth RogenJames Francoen
Geostorm,"When the network of satellites designed to control the global climate starts to attack Earth, it's a race against the clock for its creator to uncover the real threat before a worldwide Geostorm wipes out everything and everyone.",Action Science Fiction Thriller ,Dean Devlin,Gerard Butler Jim Sturgess Abbie Cornish Alexandra Maria Lara,en,unknown,Action Science Fiction Thriller Gerard Butler Jim Sturgess Abbie Cornish Alexandra Maria LaraDean Devlinen
Happy Death Day,"A college student must relive the day of her murder over and over again, in a loop that will end only when she discovers her killer's identity.",Horror Mystery Thriller ,Christopher Landon,Jessica Rothe Israel Broussard Ruby Modine Charles Aitken,en,unknown,Horror Mystery Thriller Jessica Rothe Israel Broussard Ruby Modine Charles AitkenChristopher Landonen
American Assassin,"After the death of his girlfriend at the hands of terrorists, Mitch Rapp is drawn into the world of counterterrorism, mentored by tough-as-nails former U.S. Navy S.E.A.L. Stan Hurley.",Action Thriller ,Michael Cuesta,Dylan O'Brien Michael Keaton Sanaa Lathan Taylor Kitsch,en,unknown,Action Thriller Dylan O'Brien Michael Keaton Sanaa Lathan Taylor KitschMichael Cuestaen
The Circle,"A woman lands a dream job at a powerful tech company called the Circle, only to uncover an agenda that will affect the lives of all of humanity.",Drama Science Fiction Thriller ,James Ponsoldt,Emma Watson Tom Hanks John Boyega Ellar Coltrane,en,unknown,Drama Science Fiction Thriller Emma Watson Tom Hanks John Boyega Ellar ColtraneJames Ponsoldten
Atomic Blonde,An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents.,Action Thriller ,David Leitch,Charlize Theron James McAvoy John Goodman Eddie Marsan,en,unknown,Action Thriller Charlize Theron James McAvoy John Goodman Eddie MarsanDavid Leitchen
Ghost in the Shell,"In the near future, Major Mira Killian is the first of her kind: A human saved from a terrible crash, who is cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.",Action Crime Drama ,Rupert Sanders,Scarlett Johansson Pilou Asbæk Takeshi Kitano Juliette Binoche,en,unknown,Action Crime Drama Scarlett Johansson Pilou Asbæk Takeshi Kitano Juliette BinocheRupert Sandersen
Bright,A detective must work with an Orc to find a powerful wand before evil creatures do.,Action Fantasy Thriller ,David Ayer,Will Smith Joel Edgerton Noomi Rapace Edgar Ramírez,en,unknown,Action Fantasy Thriller Will Smith Joel Edgerton Noomi Rapace Edgar RamírezDavid Ayeren
The Ritual,"A group of college friends reunite for a trip to the forest, but encounter a menacing presence in the woods that's stalking them.",Horror Mystery Thriller ,David Bruckner,Rafe Spall Arsher Ali Robert James-Collier Sam Troughton,en,unknown,Horror Mystery Thriller Rafe Spall Arsher Ali Robert James-Collier Sam TroughtonDavid Bruckneren
The Foreigner,"A humble businessman with a buried past seeks justice when his daughter is killed in an act of terrorism. A cat-and-mouse conflict ensues with a government official, whose past may hold clues to the killers' identities.",Action Thriller ,Martin Campbell,Katie Leung Jackie Chan Rufus Jones Mark Tandy,en,unknown,Action Thriller Katie Leung Jackie Chan Rufus Jones Mark TandyMartin Campbellen
Shot Caller,A newly released prisoner is forced by the leaders of his gang to orchestrate a major crime with a brutal rival gang on the streets of Southern California.,Crime Drama Thriller ,Ric Roman Waugh,Nikolaj Coster-Waldau Omari Hardwick Lake Bell Jon Bernthal,en,unknown,Crime Drama Thriller Nikolaj Coster-Waldau Omari Hardwick Lake Bell Jon BernthalRic Roman Waughen
The Hitman's Bodyguard,"The world's top bodyguard gets a new client, a hitman who must testify at the International Criminal Court. They must put their differences aside and work together to make it to the trial on time.",Action Comedy Crime ,Patrick Hughes,Ryan Reynolds Samuel L. Jackson Gary Oldman Elodie Yung,en,unknown,Action Comedy Crime Ryan Reynolds Samuel L. Jackson Gary Oldman Elodie YungPatrick Hughesen
American Made,"The story of Barry Seal, an American pilot who became a drug-runner for the CIA in the 1980s in a clandestine operation that would be exposed as the Iran-Contra Affair.",Action Biography Comedy ,Doug Liman,Tom Cruise Domhnall Gleeson Sarah Wright Jesse Plemons,en,unknown,Action Biography Comedy Tom Cruise Domhnall Gleeson Sarah Wright Jesse PlemonsDoug Limanen
Annabelle: Creation,"Twelve years after the tragic death of their little girl, a doll-maker and his wife welcome a nun and several girls from a shuttered orphanage into their home, where they become the target of the doll-maker's possessed creation, Annabelle.",Horror Mystery Thriller ,David F. Sandberg,Anthony LaPaglia Samara Lee Miranda Otto Brad Greenquist,en,unknown,Horror Mystery Thriller Anthony LaPaglia Samara Lee Miranda Otto Brad GreenquistDavid F. Sandbergen
Flatliners,"Five medical students, obsessed by what lies beyond the confines of life, embark on a daring experiment: by stopping their hearts for short periods, each triggers a near-death experience - giving them a firsthand account of the afterlife.",Drama Horror Mystery ,Niels Arden Oplev,Ellen Page Diego Luna Nina Dobrev James Norton,en,unknown,Drama Horror Mystery Ellen Page Diego Luna Nina Dobrev James NortonNiels Arden Opleven
It Comes at Night,"Secure within a desolate home as an unnatural threat terrorizes the world, a man has established a tenuous domestic order with his wife and son. Then a desperate young family arrives seeking refuge.",Horror Mystery ,Trey Edward Shults,Joel Edgerton Christopher Abbott Carmen Ejogo Riley Keough,en,unknown,Horror Mystery Joel Edgerton Christopher Abbott Carmen Ejogo Riley KeoughTrey Edward Shultsen
Ferdinand,"After Ferdinand, a bull with a big heart, is mistaken for a dangerous beast, he is captured and torn from his home. Determined to return to his family, he rallies a misfit team on the ultimate adventure.",Animation Adventure Comedy ,Carlos Saldanha,John Cena Kate McKinnon Bobby Cannavale Jack Gore,en,unknown,Animation Adventure Comedy John Cena Kate McKinnon Bobby Cannavale Jack GoreCarlos Saldanhaen
War for the Planet of the Apes,"After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind.",Action Adventure Drama ,Matt Reeves,Andy Serkis Woody Harrelson Steve Zahn Karin Konoval,en,unknown,Action Adventure Drama Andy Serkis Woody Harrelson Steve Zahn Karin KonovalMatt Reevesen
